danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;key;mode;id;cluster
0.332;0.992;-5.571;0.108;3.34e-06;0.422;0.135;0.184;134.888;368840;9;1;3Lao9WQ5YkN6P9YKE0ppVX;67
0.2;0.98;-3.305;0.186;0.0529;0.933;0.126;0.238;103.621;230333;10;1;7CTyXGB9uSD4goYKVIjPr6;8
0.373;0.98;-4.945;0.103;5.98e-06;0.3;0.277;0.111;102.842;270920;6;0;0fgTEy6LAXgNC4nT4XKZbS;29
0.273;0.988;-2.934;0.471;6.96e-05;0.0115;0.0891;0.156;110.051;299107;10;0;0KiRc3f3OI9C7s0S1QjQNO;4
0.307;0.987;-10.409;0.113;0.00024;0.000192;0.139;0.0395;155.737;316867;4;1;0MuJLuEaZuXX8aMBFCrTE4;11
0.427;0.981;-4.004;0.114;1.09e-05;0.611;0.123;0.267;168.094;311187;2;1;2vPrQslUr412s79OUVNvn9;34
0.163;0.977;-3.585;0.0591;3.64e-05;0.0052;0.0555;0.369;178.44;350644;4;0;3JjZq20Kv6UphyyirAaY9A;11
0.372;0.993;-2.562;0.157;1.1e-05;0.00133;0.0796;0.548;196.016;248360;10;0;6q49i9C9DYDmMDntgVAgxb;68
0.498;0.98;-4.083;0.129;0.000459;0.00142;0.111;0.302;106.859;280347;8;0;2LTazmGAG6srTflsDKMPsk;29
0.382;0.91;-10.631;0.0747;2.12e-05;0.00502;0.0531;0.284;91.666;315533;9;0;35uMZn4cSi5CKv5wqnxKRk;29
0.332;0.946;-6.233;0.127;0.000275;0.0304;0.136;0.303;153.091;287480;2;1;0QRxtcxL31dRAeiUUuENPu;11
0.317;0.856;-12.946;0.0702;1.73e-06;0.725;0.0486;0.248;136.177;254827;4;0;6K6bdBIpKj3pL0IrA4b1Kt;67
0.421;0.919;-8.676;0.067;0.000264;0.0328;0.0672;0.0994;105.9;376160;10;1;3UKGPk85EhjqJSqePrSYeR;29
0.531;0.947;-4.337;0.0459;2.26e-05;0.681;0.11;0.508;101.308;320067;11;0;52AqAqNPX08V8KQC3AfTBs;8
0.27;0.991;-4.716;0.134;2.66e-05;0.0273;0.323;0.238;126.799;384853;11;0;5Xwn7YmF5BRCWyBYHXqZGL;59
0.43;0.96;-4.32;0.0778;5.64e-05;0.0909;0.126;0.252;101.608;278200;7;1;14M68PdZSSMRzTBuJNuxO6;29
0.364;0.982;-7.034;0.195;6.65e-05;0.0124;0.163;0.127;113.772;392800;6;0;0dpFb4qv92TE9R00Lq4SAW;29
0.412;0.99;-7.035;0.123;2.41e-05;0.0558;0.0955;0.109;144.371;217973;2;0;3oOdGX0hEJSJEZv259Len9;37
0.437;0.995;-4.997;0.142;7.83e-06;0.165;0.316;0.038;118.049;392067;11;1;3orHIz1YV1bmUHsi2fze48;59
0.255;0.905;-6.846;0.0523;7.94e-06;0.0255;0.292;0.29;155.217;303481;8;1;2X2PpMnbDL4iQC1xdQaol2;59
0.209;0.985;-4.643;0.0974;1.66e-06;0.0187;0.226;0.404;170.44;151107;0;1;7au6woRLPhEyBVzfF9VsfS;11
0.401;0.988;-4.39;0.0714;2.79e-05;0.0159;0.103;0.46;194.978;277333;11;0;5nx2UgWzyJAjDvpvvnRAZ8;68
0.263;0.97;-4.182;0.163;0.00338;0.000795;0.0922;0.17;151.729;397827;5;0;3Ky8IzV8IVSwijtaTWB2SK;11
0.427;0.79;-12.396;0.0513;4.18e-05;0.51;0.344;0.443;111.298;330987;10;1;7mTceRxYae4a5xkEhTgdqq;27
0.439;0.995;-3.218;0.148;2.14e-05;0.0153;0.286;0.521;107.338;235067;10;0;2BKaYacYK33sCj0wQmelzs;80
0.272;0.991;-3.376;0.184;0.00027;0.000564;0.138;0.0853;98.38;295127;1;0;6Uiw1cc5V8JXyQTnfcqBto;29
0.507;0.921;-10.351;0.044;0.000248;0.00261;0.364;0.475;148.757;225800;4;1;6EDh3fGDzhYlgzPiccnRKe;46
